timestamp,equity,gross_equity
2019-01-02T00:00:00+00:00,287606.0886609075896000000000,297377.9753152913000000000000
2019-01-03T00:00:00+00:00,288538.7814053195896000000000,298310.6680597033000000000000
2019-01-04T00:00:00+00:00,288058.9446320780896000000000,297830.8312864618000000000000
2019-01-05T00:00:00+00:00,288155.3091698550896000000000,297927.1958242388000000000000
2019-01-06T00:00:00+00:00,286563.0262707022996000000000,296342.1121262558000000000000
2019-01-07T00:00:00+00:00,286959.9944343582996000000000,296739.0802899118000000000000
2019-01-08T00:00:00+00:00,287091.5232753732996000000000,296870.6091309268000000000000
2019-01-09T00:00:00+00:00,286987.3156563015228000000000,296827.5473442275000000000000
2019-01-10T00:00:00+00:00,288692.4235523750228000000000,298532.6552403010000000000000
2019-01-11T00:00:00+00:00,288601.7492564169996000000000,298493.9569556081000000000000
2019-01-12T00:00:00+00:00,288741.6977884625996000000000,298633.9054876537000000000000
2019-01-13T00:00:00+00:00,289679.0453274559996000000000,299571.2530266471000000000000
2019-01-14T00:00:00+00:00,288217.2081100007644000000000,298113.8552146202000000000000
2019-01-15T00:00:00+00:00,289552.6422784100152000000000,299480.0585183888000000000000
2019-01-16T00:00:00+00:00,289159.2151353675152000000000,299086.6313753463000000000000
2019-01-17T00:00:00+00:00,288927.4775556402152000000000,298854.8937956190000000000000
2019-01-18T00:00:00+00:00,289436.7698634472152000000000,299364.1861034260000000000000
2019-01-19T00:00:00+00:00,288609.1706765092152000000000,298536.5869164880000000000000
2019-01-20T00:00:00+00:00,290302.7773496213092000000000,300254.3219295518000000000000
2019-01-21T00:00:00+00:00,290450.7416227865136000000000,300438.5003571814000000000000
2019-01-22T00:00:00+00:00,289800.2963093307712000000000,299828.2158313813000000000000
2019-01-23T00:00:00+00:00,290170.2325310351712000000000,300198.1520530857000000000000
2019-01-24T00:00:00+00:00,290015.0848757230908000000000,300072.2887895451000000000000
2019-01-25T00:00:00+00:00,290267.0338388620908000000000,300324.2377526841000000000000
2019-01-26T00:00:00+00:00,290314.7898090512908000000000,300371.9937228733000000000000
2019-01-27T00:00:00+00:00,291149.4165731796856000000000,301224.8461263619000000000000
2019-01-28T00:00:00+00:00,293074.1441095596856000000000,303149.5736627419000000000000
2019-01-29T00:00:00+00:00,293494.7307217241664000000000,303597.9714013702000000000000
2019-01-30T00:00:00+00:00,292295.6249992971864000000000,302446.3686971586000000000000
2019-01-31T00:00:00+00:00,292931.4654601575864000000000,303082.2091580190000000000000
2019-02-01T00:00:00+00:00,292674.7158689887864000000000,302825.4595668502000000000000
2019-02-02T00:00:00+00:00,291644.1999459235864000000000,301794.9436437850000000000000
2019-02-03T00:00:00+00:00,293029.7108847634160000000000,303236.6034256672000000000000
2019-02-04T00:00:00+00:00,293067.6570219584160000000000,303274.5495628622000000000000
2019-02-05T00:00:00+00:00,292837.2783491686160000000000,303044.1708900724000000000000
2019-02-06T00:00:00+00:00,294218.6416954486160000000000,304425.5342363524000000000000
2019-02-07T00:00:00+00:00,294263.4554131582520000000000,304545.8957556413000000000000
2019-02-08T00:00:00+00:00,285637.1129368828120000000000,296018.8736537401000000000000
2019-02-09T00:00:00+00:00,285451.4642048764300000000000,295984.9353374491000000000000
2019-02-10T00:00:00+00:00,284229.5380383904300000000000,294763.0091709631000000000000
2019-02-11T00:00:00+00:00,284918.6297320814916000000000,295544.9194445986000000000000
2019-02-12T00:00:00+00:00,284598.7653242064424000000000,295346.1270257810000000000000
2019-02-13T00:00:00+00:00,284680.1236821559864000000000,295484.2340956260000000000000
2019-02-14T00:00:00+00:00,284939.3373712915864000000000,295743.4477847616000000000000
2019-02-15T00:00:00+00:00,284825.9814687078640000000000,295637.3388561521000000000000
2019-02-16T00:00:00+00:00,284568.7394898714256000000000,295386.3246025127000000000000
2019-02-17T00:00:00+00:00,283442.5267587171256000000000,294260.1118713584000000000000
2019-02-18T00:00:00+00:00,281497.7447588249496000000000,292417.4526425104000000000000
